iter	F1	Logloss
0	0.7603970835	0.6717747567
1	0.7666573332	0.6523150848
2	0.7655514857	0.6351206346
3	0.7673178895	0.6222475029
4	0.7670802971	0.608358237
5	0.7666482972	0.5962694607
6	0.7682893976	0.5864568634
7	0.7677700966	0.576209257
8	0.7662962704	0.5684366429
9	0.7671908532	0.5603554546
10	0.768531359	0.5518396424
11	0.7684347414	0.5456433012
12	0.768253468	0.5396833419
13	0.7684347414	0.533972667
14	0.7700908562	0.529682298
15	0.7705580082	0.5263413948
16	0.7708311512	0.5219939946
17	0.7716638269	0.5193771917
18	0.7698681269	0.5157579654
19	0.7719916769	0.5127498106
20	0.7723384132	0.5097603685
21	0.7736852454	0.5084049597
22	0.7724928774	0.5056149832
23	0.772512444	0.5028118067
24	0.7722802137	0.5012355909
25	0.7737504452	0.4990379169
26	0.7746367894	0.497724719
27	0.7744799638	0.4966310527
28	0.7757498173	0.4947717389
29	0.7760662711	0.493222214
30	0.7748305483	0.4914833829
31	0.7750970873	0.4901473844
32	0.7746000454	0.4890939609
33	0.7755813764	0.4877233955
34	0.7768507588	0.4860909891
35	0.7760307357	0.4849467334
36	0.7764193995	0.4840591581
37	0.7757649865	0.4829459039
38	0.776357499	0.48219129
39	0.776357499	0.4815449716
40	0.7773987066	0.4802583499
41	0.7776562448	0.479931924
42	0.7780797002	0.4789813204
43	0.7795432117	0.4787599288
44	0.779770592	0.4780226868
45	0.7798029163	0.477096543
46	0.7801605733	0.476474104
47	0.7796731576	0.4757584406
48	0.7796407001	0.4753347879
49	0.7811332086	0.4744741425
50	0.7830794324	0.4740240502
51	0.783372807	0.4735057275
52	0.7832066169	0.4732561146
53	0.7824332527	0.4731791702
54	0.7833043295	0.4726049013
55	0.7825310311	0.4723410327
56	0.7821400639	0.4715274503
57	0.7834020665	0.4708210411
58	0.7848850755	0.4702615961
59	0.7867809639	0.4693798666
60	0.7863632621	0.4692774156
61	0.7872962265	0.4684302368
62	0.7871005543	0.4682609409
63	0.7877133719	0.4678981445
64	0.789061033	0.4672184937
65	0.7879091778	0.4670058203
66	0.789061033	0.4668165343
67	0.7897710855	0.4662967701
68	0.7918471607	0.4657416734
69	0.7917490357	0.4652094232
70	0.7911156999	0.4647429587
71	0.7920434838	0.4646572178
72	0.7917269837	0.464275048
73	0.7929702249	0.4641982562
74	0.7916288034	0.4636260531
75	0.7927526001	0.4631216718
76	0.792949202	0.4625647162
77	0.7934823455	0.4624062914
