iter	Passed	Remaining
0	3	1505
1	5	1288
2	7	1240
3	9	1239
4	12	1220
5	14	1225
6	17	1219
7	19	1207
8	22	1202
9	24	1187
10	26	1176
11	28	1163
12	31	1164
13	33	1176
14	36	1166
15	38	1167
16	40	1158
17	43	1152
18	45	1147
19	47	1143
20	50	1147
21	52	1143
22	55	1143
23	57	1138
24	59	1133
25	62	1132
26	64	1132
27	67	1138
28	70	1137
29	72	1129
30	74	1123
31	76	1118
32	79	1118
33	81	1113
34	83	1113
35	87	1121
36	89	1117
37	91	1112
38	94	1111
39	96	1107
40	98	1105
41	101	1109
42	103	1104
43	106	1100
44	108	1096
45	110	1094
46	113	1090
47	115	1088
48	118	1087
49	120	1082
50	122	1079
51	124	1075
52	127	1071
53	129	1067
54	131	1067
55	134	1065
56	136	1060
57	138	1056
58	141	1054
59	143	1051
60	145	1047
61	147	1043
62	149	1039
63	152	1036
64	154	1032
65	156	1028
66	158	1025
67	160	1021
68	163	1019
69	165	1016
70	167	1012
71	169	1009
72	172	1006
73	174	1003
74	176	999
75	178	995
76	180	992
77	182	989
78	185	986
79	187	983
80	189	980
81	191	977
82	193	973
83	196	970
84	198	968
85	200	965
86	202	961
87	205	960
88	207	957
89	209	955
90	211	951
91	214	949
92	216	949
93	219	945
94	221	942
95	223	940
96	225	937
97	227	934
98	230	934
99	233	932
100	235	930
101	237	927
102	239	924
103	242	922
104	244	919
105	247	918
106	249	914
107	251	912
108	253	909
109	255	907
110	258	904
111	260	901
112	262	899
113	264	896
114	266	893
115	269	891
116	271	889
117	274	887
118	276	884
119	278	882
120	281	880
121	283	878
122	285	875
123	288	873
124	290	870
125	292	868
126	294	865
127	297	863
128	299	861
129	301	858
130	303	856
131	306	853
132	308	851
133	310	848
134	313	846
135	315	844
136	317	841
137	320	840
138	322	837
139	325	835
140	327	833
141	329	831
142	332	830
143	335	828
144	337	827
145	339	824
146	342	822
147	344	819
148	347	818
149	350	817
150	352	815
151	355	812
152	357	810
153	359	807
154	362	806
155	365	805
156	368	804
157	370	802
158	372	799
159	375	797
160	377	795
161	380	793
162	383	792
163	386	791
164	388	788
165	390	785
166	392	783
167	395	781
168	397	779
169	401	778
170	403	776
171	405	773
172	408	771
173	410	769
174	414	768
175	416	767
176	420	766
177	423	765
178	426	764
179	429	764
180	432	761
181	434	759
182	437	757
183	439	754
184	441	752
185	444	750
186	447	748
187	450	747
188	452	744
189	454	741
190	456	739
191	459	737
192	462	735
193	465	734
194	467	731
195	470	728
196	472	726
197	475	724
198	477	722
199	480	720
200	482	718
201	485	715
202	487	713
203	490	711
204	492	708
205	495	707
206	498	705
207	500	702
208	503	700
209	505	698
210	508	696
211	512	695
212	514	693
213	517	691
214	519	688
215	521	686
216	525	685
217	528	683
218	531	681
219	533	679
220	535	676
221	538	674
222	541	672
223	543	670
224	546	667
225	548	665
226	551	662
227	554	661
228	557	659
229	559	657
230	562	655
231	564	652
232	567	650
233	569	647
234	573	646
235	575	644
236	578	642
237	581	639
238	583	636
239	585	634
240	588	631
241	590	629
242	592	627
243	595	624
244	597	621
245	600	619
246	602	617
247	604	614
248	607	612
249	609	609
250	611	606
251	613	604
252	616	601
253	618	599
254	621	596
255	623	594
256	626	591
257	628	589
258	630	586
259	632	584
260	635	581
261	637	579
262	639	576
263	642	574
264	644	571
265	646	569
266	649	566
267	651	564
268	654	561
269	656	559
270	658	556
271	661	554
272	663	551
273	665	549
274	667	546
275	670	544
276	673	542
277	675	539
278	677	536
279	680	534
280	682	532
281	685	529
282	687	527
283	690	525
284	692	522
285	694	519
286	697	517
287	699	515
288	701	512
289	704	510
290	706	507
291	709	505
292	711	502
293	713	500
294	715	497
295	718	495
296	720	492
297	723	490
298	725	487
299	727	485
300	729	482
301	732	480
302	734	477
303	737	475
304	739	472
305	741	470
306	744	467
307	746	465
308	748	462
309	751	460
310	753	457
311	756	455
312	758	453
313	761	450
314	763	448
315	765	445
316	768	443
317	771	441
318	774	439
319	776	436
320	778	434
321	781	431
322	783	429
323	785	426
324	788	424
325	790	421
326	792	419
327	795	417
328	797	414
329	800	412
330	802	409
331	805	407
332	807	404
333	809	402
334	811	399
